Time,Trial 2,Trial 3
5,2.066,1.338
10,2.318,1.668
15,2.58,1.937
20,2.828,2.208
25,3.083,2.468
30,3.391,2.799
35,3.592,2.988
40,3.898,3.269
45,4.088,3.632
50,4.356,3.788
55,4.608,4.051
60,4.868,4.313
65,5.112,5.479
70,5.36,4.839
75,5.679,5.701
80,5.862,5.369
85,6.112,5.629
90,6.368,5.889
95,6.674,6.143
100,6.767,6.409
105,7.172,6.668
110,7.36,6.928
115,7.582,7.188
120,7.838,7.454
125,8.099,7.718
130,8.358,7.979
135,8.604,8.239
140,8.868,8.488
145,9.116,8.758
150,9.368,9.073
155,9.619,9.279
160,9.866,9.536
165,10.108,9.796
170,10.368,10.054
175,10.609,10.314
180,10.868,10.578
185,11.118,10.828
190,11.354,11.098
195,11.681,11.354
200,11.858,11.608
205,12.099,11.878
210,12.332,12.128
215,12.58,12.378
220,12.828,12.629
225,13.076,12.898
230,13.322,13.148
235,13.573,13.409
240,13.828,13.669
245,14.058,13.928
250,14.304,14.188
255,14.553,14.438
260,14.888,14.7
265,15.091,14.957
270,15.286,15.218
275,15.533,15.46
280,15.78,15.728
285,16.02,15.985
290,16.289,16.246
295,16.523,16.488
300,16.762,16.512
305,17.008,16.764
310,17.238,17.011
315,,17.27
320,,17.529
325,,17.789
330,,18.099
335,,18.281
340,,18.548
345,,18.806
350,,19.068
355,,19.333
360,,19.57
365,,19.828
370,,19.839
