Time,Trial 1,Trial 2,Trial 3
0,0.306,0.128,1.588
5,0.689,0.468,1.888
10,0.989,0.798,2.218
15,1.393,1.119,2.526
20,1.689,1.495,2.828
25,2.06,1.768,3.139
30,2.329,2.089,3.458
35,2.688,2.583,3.798
40,2.985,2.708,4.048
45,3.328,3.029,4.398
50,3.698,3.394,4.66
55,3.988,3.666,4.96
60,4.288,3.989,5.27
65,4.539,4.288,5.588
70,4.888,4.598,5.853
75,5.229,4.963,6.166
80,5.588,5.288,6.463
85,5.889,5.629,6.808
90,6.298,5.958,7.123
95,6.588,6.288,7.498
100,6.996,6.628,7.783
105,7.288,6.998,8.084
110,7.685,7.285,8.428
115,7.998,7.606,8.793
120,8.288,7.909,9.044
