Time,Trial 1,Trial 2,Trial 3
5,7.464,15.39,6.358
10,7.799,15.699,6.62
15,8.048,15.999,6.92
20,8.399,16.299,7.288
25,8.698,16.599,7.489
30,8.978,16.89,7.788
35,9.228,17.195,8.099
40,9.529,17.498,8.388
45,9.818,17.796,8.588
50,10.108,18.062,8.888
55,10.389,18.367,9.189
60,10.688,18.683,9.418
65,10.989,18.985,9.889
70,11.289,19.288,10.089
75,11.588,19.582,10.388
80,11.878,19.884,10.681
85,12.183,20.199,10.998
90,12.469,20.482,11.229
95,12.798,20.789,11.58
100,13.098,21.088,11.888
105,13.378,21.381,12.081
110,13.623,21.682,12.388
115,13.921,21.989,12.668
120,14.208,22.289,12.994
125,14.498,22.588,13.229
130,14.798,22.889,13.484
135,15.028,23.188,13.789
140,15.328,23.489,13.982
145,15.628,23.788,14.268
150,15.908,24.08,14.594
155,16.288,24.378,14.886
160,16.489,24.688,15.087
165,16.784,24.989,15.388
170,17.089,25.282,15.697
175,17.368,25.582,15.928
180,17.692,25.885,16.208
185,17.978,26.188,16.488
190,18.229,26.478,16.798
195,18.518,26.784,17.099
200,18.808,27.089,17.391
205,19.048,27.389,17.587
210,19.388,27.688,17.889
215,19.668,27.986,18.188
220,19.968,28.288,18.486
225,20.298,28.58,18.799
230,20.598,28.889,19.092
235,20.828,29.189,19.308
240,21.108,29.489,19.589
245,21.989,29.782,19.869
250,21.621,30.085,20.188
255,21.908,,20.429
260,22.188,,20.728
265,,,20.999
270,,,21.286
