Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,1.033,0.297,0.773,0.252,1.197
5,1.14,0.384,0.875,0.36,1.304
10,1.247,0.539,0.981,0.473,1.41
15,1.348,0.563,1.088,0.575,1.521
20,1.453,0.652,1.196,0.688,1.625
25,1.552,0.753,1.296,0.798,1.733
30,1.659,0.874,1.401,0.905,1.836
35,1.757,0.972,1.504,1.01,1.942
40,1.862,1.076,1.607,1.111,2.044
45,1.967,1.18,1.704,1.225,2.15
50,2.066,1.275,1.806,1.347,2.255
55,2.17,1.383,1.905,1.434,2.355
60,2.275,1.482,2.006,1.534,2.459
65,2.38,1.584,2.107,1.638,2.553
70,2.472,1.687,2.204,1.741,2.662
75,2.575,1.784,2.306,1.84,2.763
80,2.676,1.886,2.403,1.943,2.868
85,2.776,1.995,2.505,2.046,2.967
90,2.875,2.086,2.602,2.145,3.073
95,2.974,2.189,2.704,2.243,3.171
100,3.077,2.288,2.807,2.345,3.275
105,3.174,2.396,2.903,2.446,3.373
110,3.274,2.484,3.001,2.548,3.476
115,3.376,2.595,3.197,2.652,3.574
120,3.48,2.687,3.202,2.755,3.678
125,3.572,2.783,3.302,2.853,3.775
130,3.679,2.888,3.396,2.956,3.878
135,3.775,2.985,3.495,3.054,3.971
140,3.874,3.085,3.599,3.158,4.079
145,3.976,3.186,3.692,3.256,4.182
150,4.072,3.275,3.793,3.354,4.28
155,4.174,3.372,3.892,3.455,4.374
160,4.272,3.476,3.988,3.555,4.48
165,4.374,3.575,4.086,3.655,4.581
170,4.475,3.673,4.181,3.761,4.673
175,4.577,3.777,4.28,3.859,4.78
180,4.665,3.869,4.375,3.961,4.882
