Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
5,5.22,5.55,3.77,4.75,4.68
10,5.39,3.73,3.95,4.91,4.86
15,5.54,3.89,4.12,5.1,5.02
20,5.72,4.07,4.28,5.27,5.21
25,5.78,4.24,4.46,5.43,5.37
30,6.04,4.42,4.62,5.61,5.55
35,6.1,4.59,4.7,5.77,5.73
40,6.36,4.75,4.97,5.84,5.91
45,6.53,4.92,5.13,5.95,6.07
50,6.68,5.1,5.3,6.13,6.25
55,6.85,5.26,5.47,6.29,6.43
60,7.02,5.42,5.63,6.47,6.61
65,7.17,5.59,5.79,6.63,6.77
70,7.32,5.75,5.97,6.8,6.94
75,7.49,5.92,6.14,6.96,7.12
80,7.64,6.08,6.29,7.13,7.3
85,7.81,6.25,6.46,7.29,7.46
90,7.98,6.41,6.63,7.47,7.65
95,8.13,6.58,6.78,7.64,7.81
100,8.29,6.74,6.95,7.79,7.98
105,8.45,6.92,7.12,7.96,8.15
110,8.61,7.07,7.28,8.12,8.32
115,8.77,7.24,7.44,8.29,8.5
120,8.92,7.4,7.6,8.46,8.67
125,9.09,7.56,7.76,8.62,8.84
130,9.24,7.73,7.93,8.79,9.01
135,9.42,7.89,8.1,8.95,9.18
140,9.56,8.05,8.26,9.17,9.35
145,9.73,8.22,8.42,9.29,9.52
150,9.88,8.38,8.58,9.87,9.8
155,10.04,8.56,8.74,9.99,9.86
160,10.2,8.71,8.9,10.13,10.04
165,11.44,8.87,9.07,10.29,10.21
170,10.52,9.04,9.23,10.44,10.37
175,10.67,9.29,9.39,10.61,10.54
180,10.82,9.36,9.55,10.76,10.72
