Time,Trial 1,Trial 2,Trial 3
0,4.891,4.463,4.537
5,5.023,4.6,4.678
10,5.151,4.735,4.814
15,5.276,4.87,4.956
20,5.413,5.013,5.094
25,5.56,5.147,5.233
30,6.675,5.276,5.375
35,5.81,5.419,5.51
40,5.934,5.559,5.642
45,6.073,5.693,5.799
50,6.207,5.83,5.927
55,6.334,5.964,6.061
60,6.473,6.105,6.203
65,6.597,6.239,6.338
70,6.731,6.377,6.479
75,6.854,6.512,6.611
80,6.992,6.649,6.752
85,7.125,6.781,6.887
90,7.254,6.916,7.027
95,7.387,7.051,7.154
100,7.513,7.19,7.3
105,7.648,7.249,7.435
110,7.776,7.462,7.574
115,7.91,7.6,7.708
120,8.036,7.736,7.847
125,8.164,7.871,7.982
130,8.298,8.005,8.12
135,8.425,8.144,8.252
140,8.559,8.275,8.392
145,8.691,8.413,8.522
150,8.825,8.543,8.661
155,8.951,8.671,8.794
160,9.073,8.81,8.932
165,9.21,8.948,9.062
170,9.343,9.076,9.2
175,9.469,9.214,9.332
180,9.502,9.344,9.468
185,9.636,9.481,9.599
190,9.762,9.616,9.731
195,9.897,9.746,9.869
200,10.023,9.875,10.005
205,10.158,10.011,10.137
210,10.284,10.14,10.277
215,10.411,10.275,10.408
220,10.546,10.405,10.545
225,10.672,10.539,10.673
230,10.705,10.669,10.808
235,10.931,10.806,10.942
240,11.054,10.934,11.074
245,11.19,11.071,11.204
250,11.322,11.199,11.334
255,11.448,11.327,11.472
260,11.581,11.464,11.601
265,11.707,11.591,11.73
270,11.839,11.719,11.868
275,11.965,11.846,11.992
280,12.095,11.977,12.123
285,12.223,12.106,12.251
290,12.353,12.237,12.392
295,12.482,12.363,12.521
300,12.611,12.494,12.654
305,12.735,12.629,12.786
310,12.865,12.754,12.916
315,12.992,12.883,13.047
320,13.121,13.014,13.179
325,13.255,13.144,13.305
330,13.379,13.272,13.433
335,13.506,13.401,13.568
340,13.637,13.535,13.694
345,13.762,13.66,13.824
350,13.891,13.777,13.954
