Time,Trial 1,Trial 2
5,0.825,
10,0.926,
15,1.047,
20,1.155,
25,1.261,
30,1.361,
35,1.467,
40,1.573,
45,1.675,
50,1.779,
55,1.886,
60,1.987,
65,2.091,
70,2.196,
75,2.295,
80,2.399,
85,2.498,
90,2.602,
95,2.705,
100,2.803,
105,2.904,
110,3.003,
115,3.107,
120,3.21,
125,3.307,
130,3.41,
135,3.508,
140,3.612,
145,3.708,
150,3.812,
155,3.914,
160,4.014,
165,4.115,
170,4.213,
175,4.311,
180,4.41,
185,4.513,
190,4.613,
195,4.715,
200,4.815,
205,4.916,
210,5.015,
215,5.117,
220,5.222,
225,5.324,
230,5.423,
235,5.527,
240,5.622,
245,5.728,
250,5.83,
255,5.931,
260,6.029,
265,6.13,
270,6.231,
275,6.328,
280,6.429,
285,6.526,
290,6.626,
295,6.723,
300,6.824,
305,6.926,
310,7.022,
315,7.124,
320,7.223,
325,7.325,
330,7.422,
335,7.519,
340,7.618,
345,7.714,
350,7.814,
355,7.915,
360,8.01,
365,8.111,
370,8.207,
375,8.307,
380,8.405,
385,8.503,
390,8.604,
395,8.699,
400,8.799,
405,8.893,
410,8.993,
415,9.093,
420,9.188,
425,9.288,
430,9.382,
435,9.481,
440,9.579,
445,9.676,
450,9.771,
455,9.871,
460,9.971,
465,10.066,
470,10.166,
475,10.261,
480,10.352,
485,10.456,
490,10.556,
495,10.651,
500,10.753,
505,10.848,
510,10.947,
515,11.042,
520,11.14,
525,11.234,
530,11.335,
535,11.427,
540,11.526,
545,11.621,
550,11.719,
555,11.813,
560,11.912,
565,12.008,
570,12.104,
575,12.198,
580,12.294,
585,12.387,
590,12.48,
595,12.579,
600,12.67,
605,12.769,
610,12.861,
615,12.957,
620,13.057,
625,13.15,
630,13.243,
635,13.34,
640,13.433,
645,13.525,
650,13.625,
655,13.716,
660,13.816,
665,13.907,
670,14,
675,14.098,
680,14.189,
685,14.281,
690,14.379,
695,14.471,
700,14.569,
705,14.661,
710,14.753,
715,14.852,
720,14.942,
725,15.035,
730,15.133,
735,15.224,
740,15.316,
745,15.413,
750,15.505,
755,15.597,
760,15.694,
765,15.785,
770,15.877,
775,15.974,
780,16.065,
785,16.156,
790,16.254,
795,16.345,
800,16.435,
805,16.531,
810,16.621,
815,16.712,
820,16.808,
825,16.899,
830,16.996,
835,17.085,
840,17.176,
845,17.266,
850,17.362,
855,17.451,
860,17.542,
865,17.638,
870,17.727,
875,17.816,
880,17.914,
885,18.004,
890,18.099,
895,18.186,
900,18.279,
905,18.368,
910,18.464,
915,18.554,
920,18.643,
925,18.739,
930,18.829,
935,18.917,
940,19.013,
945,19.101,
950,19.197,
955,19.286,
960,19.374,
965,19.465,
970,19.555,
975,19.643,
980,19.737,
985,19.826,
990,19.914,
995,20.009,
1000,20.097,
1005,20.186,
1010,20.274,
1015,20.368,
1020,20.459,
1025,20.547,
1030,20.636,
1035,20.73,
1040,20.818,
1045,20.906,
1050,21,
1055,21.088,
1060,21.176,
1065,21.27,
1070,21.357,
1075,21.445,
1080,21.539,
1085,21.627,
1090,21.714,
1095,21.808,
1100,21.895,
1105,21.982,
1110,22.076,
1115,22.163,
1120,22.251,
1125,22.343,
1130,22.431,
1135,22.517,
1140,22.609,
1145,22.695,
1150,22.781,
1155,22.873,
1160,22.959,
1165,23.049,
1170,23.134,
1175,23.22,
1180,23.312,
1185,23.398,
1190,23.483,
1195,23.575,
1200,23.66,
1205,23.746,
1210,23.837,
1215,23.923,
1220,24.008,
1225,24.092,
1230,24.181,
1235,24.272,
1240,24.356,
1245,24.441,
1250,24.531,
1255,24.617,
1260,24.79,
1265,24.874,
1270,24.958,
1275,25.048,
1280,25.132,
1285,25.215,
1290,25.306,
1295,25.389,
1300,25.472,
1305,25.562,
1310,25.645,
1315,25.728,
1320,25.817,
1325,25.901,
1330,25.985,
1335,26.067,
1340,26.155,
1345,26.239,
1350,26.322,
1355,26.409,
1360,26.492,
1365,26.571,
1370,26.662,
1375,26.741,
1380,26.826,
1385,26.913,
1390,26.996,
1395,27.078,
1400,27.165,
1405,27.246,
1410,27.328,
1415,27.416,
1420,27.497,
1425,27.579,
1430,27.666,
1435,27.747,
1440,27.828,
1445,27.915,
1450,27.995,
1455,28.076,
1460,28.156,
1465,28.243,
1470,28.324,
1475,28.403,
1480,28.489,
1485,28.569,
1490,28.649,
1495,28.729,
1500,28.815,
1505,28.895,
1510,28.974,
1515,29.06,
1520,29.14,
1525,29.219,
1530,29.305,
1535,29.385,
1540,29.466,
1545,29.554,
1550,29.638,
1555,29.723,
1560,29.808,
1565,29.891,
1570,29.973,
1575,30.061,
1580,30.143,
1585,30.225,
1590,30.342,
1595,30.411,
1600,30.497,
1605,30.578,
1610,30.66,
1615,30.746,
1620,30.828,
1625,30.909,
1630,30.996,
1635,31.077,
1640,31.158,
1645,31.239,
1650,31.326,
1655,31.411,
1660,31.491,
1665,31.57,
1670,31.644,
1675,31.735,
1680,31.824,
1685,31.901,
1690,31.982,
1695,32.067,
1700,32.146,
1705,32.226,
1710,32.312,
1715,32.392,
1720,32.471,
1725,32.555,
1730,32.635,
1735,32.714,
1740,32.794,
1745,32.878,
1750,32.956,
1755,33.041,
1760,33.119,
1765,33.198,
1770,33.276,
1775,33.361,
1780,33.439,
1785,33.516,
1790,33.602,
1795,33.679,
1800,33.756,
1805,33.84,
1810,33.919,
1815,33.995,
1820,34.079,
1825,34.156,
1830,34.235,
1835,34.317,
1840,34.394,
1845,34.472,
1850,34.554,
1855,34.631,
1855,34.708,
