Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,0.692,5.458,14.734,19.606,24.502
5,0.79,5.552,14.832,19.706,24.595
10,0.891,5.65,14.929,19.797,24.693
15,0.991,5.743,15.02,19.897,24.787
20,1.085,5.84,15.116,19.989,24.878
25,1.184,5.937,15.208,20.081,24.967
30,1.28,6.033,15.299,20.173,25.057
35,1.379,6.122,15.398,20.271,25.154
40,1.477,6.22,15.49,20.364,25.245
45,1.571,6.313,15.586,20.453,25.341
50,1.665,6.409,15.678,20.554,25.431
55,1.762,6.505,15.768,20.644,25.526
60,1.857,6.596,15.861,20.744,25.617
65,1.951,6.69,15.953,20.838,25.713
70,2.042,6.783,16.043,20.93,25.802
75,2.132,6.878,16.141,21.029,25.894
80,2.226,6.974,16.233,21.124,25.984
85,2.318,7.064,16.322,21.216,26.074
90,2.413,7.153,16.419,21.311,26.171
95,2.504,7.256,16.518,21.405,26.259
100,2.595,7.353,16.615,21.498,26.352
105,2.69,7.448,16.705,21.597,26.446
110,2.779,7.54,16.795,21.688,26.533
115,2.871,7.637,16.893,21.778,26.622
120,2.966,7.733,16.985,21.877,26.717
125,3.055,7.824,17.08,21.967,26.804
130,3.148,7.92,17.171,22.055,26.895
135,3.249,8.014,17.263,22.15,26.981
140,3.336,8.104,17.359,22.243,27.068
145,3.427,8.201,17.449,22.339,27.161
150,3.518,8.292,17.539,22.43,27.25
155,3.617,8.388,17.639,22.521,267.343
160,3.702,8.479,17.727,22.615,27.43
165,3.793,8.573,17.817,22.717,27.524
170,3.886,8.719,17.908,22.802,27.61
175,3.974,8.771,18.003,22.893,27.703
180,4.068,8.854,18.097,22.991,28.059
