Time,Trial 1,Trial 2,Trial 3
5,0,0.048,0.24
10,0.012,0.135,0.282
15,0.022,0.192,0.35
20,0.093,0.178,0.413
25,0.077,0.223,0.59
30,0.177,0.324,0.691
35,0.254,0.433,0.788
40,0.543,0.541,0.886
45,0.657,0.641,0.986
50,0.754,0.745,1.073
55,0.854,0.842,1.176
60,0.956,0.951,1.272
65,1.049,1.042,1.364
70,1.143,1.15,1.46
75,1.242,1.242,1.554
80,1.336,1.349,1.647
85,1.422,1.45,1.744
90,1.523,1.545,1.834
95,1.612,1.645,1.926
100,1.714,1.745,2.021
105,1.815,1.84,2.111
110,1.903,1.936,2.205
115,1.994,2.021,2.294
120,2.085,2.13,2.391
125,2.173,2.224,2.485
130,2.275,2.322,2.576
135,2.371,2.41,2.664
140,2.452,2.517,2.758
145,2.554,2.615,2.842
150,2.647,2.708,2.934
155,2.746,2.805,3.034
160,2.827,2.898,3.125
165,2.923,2.991,3.217
170,3.018,3.091,3.305
175,3.104,3.173,3.397
180,3.195,3.274,3.486
185,3.292,3.372,3.573
190,3.382,3.467,3.67
195,3.472,3.55,3.754
200,3.563,3.657,3.849
205,3.657,3.745,3.939
210,3.745,3.842,4.029
215,3.837,3.937,4.111
220,3.926,4.023,4.209
225,4.017,4.124,4.301
230,4.107,4.219,4.388
235,4.199,4.317,4.478
240,4.288,4.413,4.568
245,4.373,4.504,4.654
250,4.473,4.596,4.746
255,4.56,4.692,4.836
260,4.643,4.783,4.924
265,4.741,4.879,5.014
270,4.823,4.972,5.105
275,4.922,5.054,5.192
280,5.011,5.115,5.281
285,5.107,5.251,5.372
290,5.194,5.342,5.458
295,5.281,5.435,5.548
300,5.373,5.526,5.636
305,5.461,5.611,5.727
310,5.543,5.711,5.813
315,5.644,5.803,5.902
320,5.722,5.896,5.989
325,5.819,5.991,6.078
330,5.91,6.083,6.166
335,5.992,6.173,6.252
340,6.085,6.266,6.343
345,6.174,6.356,6.425
350,6.263,6.441,6.519
355,6.351,6.535,6.604
360,6.442,6.624,6.692
365,6.523,6.722,6.779
370,6.616,6.813,6.867
375,6.703,6.907,6.853
380,6.793,7.001,7.042
385,6.873,7.09,7.124
390,6.968,7.175,7.213
395,7.054,7.273,7.304
400,7.145,7.367,7.391
405,7.231,7.456,7.478
410,7.312,7.544,7.561
415,7.405,7.646,7.651
420,7.493,7.725,7.745
425,7.58,7.817,7.823
430,7.672,7.911,7.918
435,7.755,7.998,7.997
440,7.85,8.093,8.08
445,7.924,8.175,8.176
450,8.019,8.266,8.253
455,8.106,8.355,8.34
460,8.19,8.457,8.423
465,8.281,8.534,8.514
470,8.371,8.626,8.596
475,8.456,8.717,8.686
480,8.513,8.803,8.768
485,8.624,8.89,8.852
490,8.713,8.972,8.939
495,8.791,9.073,9.027
500,8.886,9.159,9.113
505,8.971,9.24,9.199
510,9.054,9.334,9.285
515,9.126,9.427,9.372
520,9.226,9.512,9.458
525,9.311,9.501,9.542
530,9.411,9.689,9.623
535,9.482,9.775,9.712
540,9.575,9.862,9.792
545,9.651,9.951,9.883
550,9.746,10.037,9.974
555,9.823,10.126,10.057
560,9.916,10.212,10.144
565,10.001,10.302,10.228
570,10.075,10.384,10.315
575,10.153,10.47,10.4
580,10.245,10.559,10.483
585,10.312,10.643,10.572
590,10.411,10.729,10.657
595,10.493,10.819,10.747
600,10.573,10.904,10.827
605,10.665,10.989,10.908
610,10.751,11.075,10.992
615,10.833,11.162,11.074
620,10.972,11.248,11.154
625,11.01,11.331,11.246
630,11.092,11.413,11.328
635,11.188,11.511,11.414
640,11.275,11.607,11.496
645,11.367,11.69,11.571
650,11.454,11.777,11.663
655,11.545,11.867,11.745
660,11.634,11.953,11.828
665,11.718,12.041,11.907
670,11.807,12.121,11.995
675,11.893,12.21,12.076
680,11.978,12.309,12.157
685,12.071,12.405,12.237
690,12.155,12.481,12.313
695,12.24,12.574,12.404
700,12.328,12.661,12.485
705,12.417,12.745,12.564
710,12.5,12.839,12.65
715,12.591,12.925,12.729
720,12.677,13.011,12.815
725,12.761,13.103,12.895
730,12.846,13.187,12.975
