Time,Trial 1,Trial 2
5,0.153,0.455
10,0.275,0.589
15,0.41,0.714
20,0.547,0.841
25,0.681,0.967
30,0.815,1.09
35,0.953,1.214
40,1.077,1.339
45,1.207,1.454
50,1.334,1.578
55,1.461,1.698
60,1.59,1.818
65,1.717,1.939
70,1.844,2.054
75,1.966,2.177
80,2.094,2.301
85,2.219,2.415
90,2.348,2.534
95,2.467,2.655
100,2.595,2.765
105,2.717,2.889
110,2.845,3.006
115,2.965,3.128
120,3.095,3.24
125,3.215,3.36
130,3.341,3.479
135,3.465,3.591
140,3.591,3.711
145,3.711,3.829
150,3.836,3.95
155,3.963,4.063
160,4.081,4.181
165,4.207,4.302
170,4.334,4.42
175,4.459,4.534
180,4.573,4.653
185,4.706,4.77
190,4.825,4.886
195,4.954,5.005
200,5.073,5.117
205,5.196,5.234
210,5.322,5.353
215,5.441,5.467
220,5.565,5.586
225,5.691,5.795
230,5.814,5.817
235,5.936,5.931
240,6.057,6.05
245,6.181,6.168
250,6.3,6.28
255,6.424,6.397
260,6.547,6.515
265,6.665,6.626
270,6.787,6.746
275,6.91,6.857
280,7.033,6.974
285,7.152,7.094
290,7.275,7.215
295,7.398,7.321
300,7.518,7.439
305,7.64,7.543
310,7.76,7.671
315,7.885,7.781
320,8.004,7.898
325,8.123,8.015
330,8.241,8.126
335,8.365,8.243
340,8.49,8.358
345,8.617,8.469
350,8.73,8.586
355,8.852,8.701
360,8.974,8.817
365,9.094,8.926
370,9.215,9.044
375,9.336,9.159
380,9.453,9.269
385,9.576,9.385
390,9.697,9.5
395,9.82,9.61
400,9.937,9.727
405,10.06,9.841
410,10.177,9.957
415,10.3,10.066
420,10.416,10.184
425,10.538,10.294
430,10.662,10.409
435,10.776,10.526
440,10.899,10.639
445,11.014,10.751
450,11.137,10.868
455,11.256,10.988
460,11.377,11.099
465,11.493,11.217
470,11.613,11.328
475,11.736,11.446
480,11.851,11.557
485,11.966,11.674
490,12.084,11.791
495,12.207,11.902
500,12.323,12.02
505,12.442,12.131
510,12.549,12.247
515,12.673,12.357
520,12.794,12.474
525,12.91,12.587
530,13.024,12.701
535,13.144,12.815
540,13.265,12.926
545,13.381,13.043
550,13.494,13.159
555,13.614,13.272
560,13.737,13.387
565,13.855,13.615
570,13.961,13.612
575,14.082,13.729
580,14.198,13.843
585,14.311,13.952
590,14.431,14.063
595,14.546,14.176
600,14.663,14.294
605,14.775,14.403
610,14.896,14.521
615,15.006,14.631
620,15.117,14.747
625,15.238,14.858
630,15.348,14.97
635,15.469,15.083
640,15.579,15.197
645,15.697,15.31
650,15.809,15.423
655,15.928,15.532
660,16.038,15.646
665,16.157,15.758
670,16.266,15.874
675,16.381,15.98
680,16.495,16.097
685,16.609,16.205
690,16.726,16.321
695,16.838,16.435
700,16.954,16.546
705,17.064,16.656
710,17.18,16.777
715,17.293,16.885
720,17.406,16.996
725,17.518,17.104
730,17.637,17.214
735,17.742,17.329
740,17.868,17.438
745,17.976,17.554
750,18.085,17.667
755,18.203,17.778
760,18.316,17.887
765,18.434,17.996
770,18.542,18.111
775,18.651,18.223
780,18.766,18.334
785,18.871,18.442
790,18.994,18.558
795,19.107,18.669
800,19.212,18.781
805,19.319,18.892
810,19.442,19.001
815,19.55,19.11
820,19.663,19.221
825,19.776,19.332
830,19.891,19.44
835,20.002,19.554
840,20.111,19.661
845,20.228,19.775
850,20.338,19.885
855,20.456,19.997
860,20.565,20.103
865,20.683,20.21
870,20.794,20.323
875,20.902,20.43
880,21.011,20.54
885,21.128,20.65
890,21.246,20.76
895,21.345,20.875
900,21.461,20.975
905,21.575,21.093
910,21.692,21.195
915,21.804,21.313
920,21.917,21.42
925,22.029,21.534
930,22.142,21.641
935,22.249,21.754
940,22.364,21.865
945,22.47,21.973
950,22.582,22.079
955,22.697,22.195
960,22.803,22.306
965,22.908,22.742
970,23.022,22.523
975,23.132,22.636
980,23.241,22.744
985,23.355,22.857
990,23.46,22.965
995,23.575,23.07
1000,23.682,23.185
1005,23.796,23.296
1010,23.904,23.406
1015,24.014,23.516
1020,24.117,23.327
1025,24.231,23.734
1030,24.337,23.844
1035,24.449,23.953
1040,24.554,24.059
1045,24.657,24.172
1050,24.772,24.272
1055,24.884,24.384
1060,24.99,24.498
1065,25.097,24.603
1070,25.207,24.715
1075,25.311,24.824
1080,25.423,24.932
1085,25.527,25.037
1090,25.631,25.142
1095,25.744,25.254
1100,25.849,25.359
1105,25.957,25.47
1110,26.059,25.575
1115,26.169,25.685
1120,26.278,25.791
1125,26.376,25.902
1130,26.492,26.006
1135,26.501,26.109
1140,26.702,26.222
1145,26.809,26.325
1150,26.912,26.436
1155,27.023,26.54
1160,27.13,26.65
1165,27.237,26.756
1170,27.339,26.86
1175,27.442,26.966
1180,27.555,27.07
1185,27.66,27.18
1190,27.78,27.284
1195,27.877,27.394
1200,27.983,27.497
1205,28.097,27.602
1210,28.201,27.709
1215,28.316,27.81
1220,28.419,27.921
1225,28.524,28.024
1230,28.634,28.125
1235,28.739,28.235
1240,28.848,28.34
1245,28.95,28.446
1250,29.063,28.548
1255,29.165,28.657
1260,29.278,28.759
1265,29.382,28.867
1270,29.488,28.969
1275,29.595,29.07
1280,29.702,29.18
1285,29.812,29.283
1290,29.911,29.394
1295,30.018,29.498
1300,30.129,29.617
1305,30.234,29.713
1310,30.336,29.819
1315,30.434,29.928
1320,30.547,30.033
1325,30.65,30.146
1330,30.758,30.25
1335,30.861,30.353
1340,30.971,30.466
1345,31.056,30.57
1350,31.173,30.678
1355,31.28,30.785
1360,31.385,30.897
1365,31.49,31
1370,31.593,31.103
1375,31.7,31.215
1380,31.774,31.32
1385,31.838,31.429
1390,31.884,31.535
1395,31.91,31.616
1400,31.937,31.748
1405,31.951,31.851
1410,,31.962
1415,,32.066
1420,,32.177
1425,,32.28
1430,,32.383
1435,,32.494
1440,,32.598
1445,,32.707
1450,,32.812
1455,,32.914
1460,,33.024
1465,,33.128
1470,,33.238
1475,,33.338
1480,,33.408
1485,,33.452
1490,,33.497
1495,,33.523
1500,,33.542
1505,,33.554
1510,,33.563
1515,,33.57
