Time,Trial 1,Trial 2
5,0.085,0.071
10,0.152,0.312
15,0.224,0.434
20,0.327,0.541
25,0.421,0.645
30,0.515,0.741
35,0.612,0.844
40,0.702,0.941
45,0.795,1.023
50,0.886,1.121
55,0.971,1.218
60,1.068,1.314
65,1.161,1.4
70,1.253,1.491
75,1.342,1.587
80,1.431,1.672
85,1.523,1.754
90,1.619,1.853
95,1.703,1.945
100,1.792,2.027
105,1.874,2.111
110,1.97,2.104
115,2.058,2.291
120,2.146,2.373
125,2.236,2.47
130,2.326,2.551
135,2.412,2.642
140,2.501,2.732
145,2.296,2.825
150,2.675,2.909
155,2.764,2.993
160,2.85,3.087
165,2.941,3.173
170,3.027,3.259
175,3.111,3.345
180,3.192,3.428
185,3.285,3.517
190,3.372,3.602
195,3.458,3.689
200,3.544,3.771
205,3.629,3.856
210,3.711,3.957
215,3.795,4.025
220,3.88,4.113
225,3.965,4.198
230,4.051,4.282
235,4.132,4.365
240,4.216,4.45
245,4.301,4.531
250,4.383,4.618
255,4.469,4.701
260,4.554,4.787
265,4.638,4.87
270,4.722,4.956
275,4.805,5.041
280,4.885,5.123
285,4.967,5.204
290,5.052,5.287
295,5.135,5.375
300,5.217,5.453
305,5.298,5.541
310,5.381,5.626
315,5.462,5.704
320,5.547,5.794
325,5.626,5.875
330,5.71,5.96
335,5.791,6.042
340,5.874,6.129
345,5.955,6.21
350,6.033,6.294
355,6.112,6.374
360,6.195,6.451
365,6.275,6.547
370,6.352,6.624
375,6.436,6.705
380,6.518,6.791
385,6.598,6.871
390,6.678,6.956
395,6.757,7.04
400,6.838,7.117
405,6.917,7.206
410,6.994,7.282
415,7.072,7.365
420,7.151,7.443
425,7.227,7.531
430,7.307,7.612
435,7.387,7.696
440,7.464,7.777
445,7.542,7.856
450,7.619,7.941
455,7.7,8.011
460,7.778,8.101
465,7.854,8.186
470,7.935,8.264
475,8.007,8.348
480,8.084,8.423
485,8.16,8.512
490,8.239,8.592
495,8.317,8.67
500,8.389,8.754
505,8.464,8.831
510,8.538,8.917
515,8.616,8.997
520,8.697,9.074
525,8.767,9.151
530,8.839,9.242
535,8.914,9.32
540,8.987,9.402
545,9.062,9.481
550,9.136,9.553
555,9.208,9.641
560,9.274,9.72
565,9.358,9.801
570,9.43,9.881
575,9.504,9.961
580,9.573,10.046
585,8.645,10.124
590,9.717,10.205
595,9.79,10.275
600,9.859,10.354
605,9.924,10.444
610,10.004,10.526
615,10.073,10.605
620,10.144,10.674
625,10.215,10.754
630,10.286,10.844
635,10.354,10.914
640,10.42,11.002
645,10.5,11.079
650,10.567,11.153
655,10.638,11.234
660,10.706,11.315
665,10.776,11.394
670,10.843,11.472
675,10.915,11.547
680,10.973,11.631
685,11.049,11.711
690,11.118,11.781
695,11.187,11.853
700,11.255,11.944
705,11.321,12.02
710,11.396,12.096
715,11.456,12.171
720,11.522,12.252
725,11.587,12.327
730,11.653,12.408
735,11.723,12.494
740,11.788,12.564
745,11.852,12.645
750,11.918,12.721
755,11.982,12.791
760,12.048,12.876
765,12.111,12.951
770,12.178,13.031
775,12.243,13.112
780,12.307,13.186
785,12.372,13.261
790,12.433,13.34
795,12.497,13.417
800,12.553,13.496
805,12.325,13.572
810,12.696,13.653
815,12.751,13.726
820,12.812,13.805
825,12.874,13.879
830,12.939,13.953
835,13,14.033
840,13.063,14.186
845,13.127,14.26
850,13.187,14.334
855,13.247,14.412
860,13.312,14.49
865,13.371,14.565
870,13.433,14.643
875,13.495,14.716
880,13.557,14.795
885,13.618,14.868
890,13.681,14.946
895,13.741,15.018
900,13.801,15.097
905,13.864,15.17
910,13.926,15.243
915,13.997,15.315
920,14.053,15.393
925,14.114,15.47
930,14.179,15.543
935,14.24,15.611
940,14.302,15.694
945,14.369,15.771
950,14.421,15.843
955,14.49,15.911
960,14.552,15.993
965,14.613,16.065
970,14.677,16.147
975,14.74,16.214
980,14.803,16.291
985,14.865,16.363
990,14.933,16.441
995,14.995,16.512
1000,15.054,16.584
1005,15.125,16.661
1010,15.197,16.731
1015,15.263,16.809
1020,15.334,16.885
1025,15.405,16.956
1030,15.472,17.023
1035,15.544,17.105
1040,15.612,17.177
1045,15.673,17.254
1050,15.751,17.325
1055,15.817,17.492
1060,15.89,17.473
1065,15.957,17.545
1070,16.028,17.621
1075,16.095,17.693
1080,16.167,17.769
1085,16.234,17.845
1090,16.3,17.916
1095,16.369,17.993
1100,16.44,18.064
1105,16.505,18.134
1110,16.577,18.211
1115,16.643,18.282
1120,16.713,18.357
1125,16.775,18.428
1130,16.847,18.504
1135,16.917,18.575
1140,16.982,18.651
1145,17.043,18.713
1150,17.117,18.793
1155,17.182,18.865
1160,17.244,18.939
1165,17.317,19.015
1170,17.385,19.085
1175,17.45,19.158
1180,17.52,19.233
1185,17.584,19.304
1190,17.652,19.373
1195,17.72,19.449
1200,17.786,19.519
1205,17.852,19.594
1210,17.91,19.663
1215,17.983,19.732
1220,18.048,19.808
1225,18.092,19.877
1230,18.174,19.95
1235,18.247,20.014
1240,18.311,20.094
1245,18.378,20.161
1250,18.441,20.236
1255,18.505,20.306
1260,18.574,20.374
1265,18.64,20.443
1270,18.705,20.518
1275,18.767,20.587
1280,18.827,20.654
1285,18.896,20.727
1290,18.958,20.794
1295,19.021,20.865
1300,19.088,20.945
1305,19.149,21.01
1310,19.215,21.085
1315,19.279,21.154
1320,19.344,21.224
1325,19.411,21.295
1330,19.475,21.369
1335,19.548,21.443
1340,19.612,21.514
1345,19.682,21.583
1350,19.753,21.658
1355,19.829,21.721
1360,19.901,21.8
1365,19.976,21.875
1370,20.046,21.943
1375,20.122,22.017
1380,20.192,22.084
1385,20.268,22.154
1390,20.339,22.231
1395,20.414,22.306
1400,20.483,22.378
1405,20.553,22.453
1410,20.628,22.525
1415,20.697,22.591
1420,20.773,22.673
1425,20.841,22.744
1430,20.916,22.82
1435,20.986,22.895
1440,21.05,22.965
1445,20.131,23.032
1450,21.204,23.108
1455,21.273,23.185
1460,21.343,23.254
1465,21.417,23.335
1470,21.487,23.4
1475,21.561,23.471
1480,21.63,23.546
1485,21.703,23.611
1490,21.771,23.69
1495,21.843,23.761
1500,21.915,23.831
1505,21.984,23.904
1510,22.056,23.975
1515,22.126,24.05
1520,22.197,24.113
1525,22.268,24.194
1530,22.337,24.263
1535,22.403,24.337
1540,22.478,24.407
1545,22.545,24.471
1550,22.615,24.55
1555,22.687,24.614
1560,22.754,24.694
1565,22.826,24.764
1570,22.894,24.834
1575,22.965,24.906
1580,23.033,24.972
1585,23.104,25.046
1590,23.171,25.116
1595,23.243,25.188
1600,23.313,25.25
1605,23.372,25.328
1610,23.45,25.491
1615,23.517,25.469
1620,23.588,25.547
1625,23.655,25.605
1630,23.722,25.672
1635,23.792,25.745
1640,23.864,25.814
1645,23.931,25.887
1650,23.998,25.956
1655,24.067,26.026
1660,24.13,26.094
1665,24.2,26.166
1670,24.268,26.233
1675,24.338,26.293
1680,24.405,26.369
1685,24.471,26.441
1690,24.539,26.507
1695,24.605,26.574
1700,24.674,26.646
1705,24.74,26.712
1710,24.81,26.781
1715,24.874,26.849
1720,24.945,26.917
1725,25.009,26.982
1730,25.079,27.051
1735,25.144,27.111
1740,25.213,27.184
1745,25.277,27.252
1750,25.342,27.314
1755,25.412,27.391
1760,25.478,27.454
1765,25.548,27.524
1770,25.615,27.594
1775,25.684,27.655
1780,25.752,27.724
1785,25.82,27.797
1790,25.892,27.865
1795,25.96,27.934
1800,26.032,28.006
1805,26.102,28.075
1810,26.169,28.148
1815,26.241,28.218
1820,26.308,28.274
1825,26.374,28.351
1830,26.446,28.428
1835,26.513,28.492
1840,26.583,28.573
1845,26.653,28.641
1850,26.726,28.715
1855,26.792,28.783
1860,26.865,28.854
1865,26.934,28.927
1870,27.011,28.995
1875,27.081,29.064
1880,27.157,29.136
1885,27.228,29.205
1890,27.297,29.271
1895,27.374,29.346
1900,27.443,29.413
1905,27.519,29.486
1910,27.589,29.553
1915,27.665,29.626
1920,27.734,29.693
1925,27.81,29.761
1930,27.879,29.831
1935,27.944,29.903
1940,28.025,29.971
1945,28.195,30.415
1950,28.169,30.112
1955,28.234,30.18
1960,28.312,30.25
1965,28.382,30.311
1970,28.458,30.391
1975,28.527,30.457
1980,28.601,30.524
1985,28.669,30.593
1990,28.734,30.666
1995,28.816,30.733
2000,28.883,30.802
2005,28.955,30.873
2010,29.023,30.94
2015,29.096,31.011
2020,29.166,31.074
2025,29.24,31.144
2030,29.308,31.214
2035,29.371,31.282
2040,29.448,31.343
2045,28.521,31.419
2050,28.589,31.491
2055,28.657,31.557
2060,29.729,31.623
2065,29.797,31.762
2070,29.87,31.823
2075,29.938,31.9
2080,30.01,31.97
2085,30.076,32.038
2090,30.149,32.105
2095,30.216,32.175
2100,30.284,32.247
2105,30.357,32.313
2110,30.424,32.38
2115,30.494,32.44
2120,30.56,32.517
2125,30.631,32.584
2130,30.698,32.655
2135,30.77,32.726
2140,30.836,32.791
2145,30.907,32.856
2150,30.975,32.914
2155,31.041,32.965
2160,31.109,32.995
2165,31.175,33.011
2170,31.246,33.036
2175,31.314,33.048
2180,31.382,33.053
2185,31.447,33.056
2190,31.515,33.06
2195,31.582,
2200,31.649,
2205,31.717,
2210,31.782,
2215,31.851,
2220,31.917,
2225,31.986,
2230,32.052,
2235,32.114,
2240,32.175,
2245,32.221,
2250,32.252,
2255,32.274,
2260,32.289,
2265,32.3,
2270,32.308,
