Time,Trial 1,Trial 2
0,1.218,0.776
5,1.717,0.897
10,1.836,1.014
15,1.956,1.138
20,2.083,1.257
25,2.214,1.376
30,2.331,1.498
35,2.453,1.611
40,2.582,1.727
45,2.711,1.849
50,2.83,1.971
55,2.953,2.085
60,3.085,2.206
65,3.214,2.321
70,3.336,2.441
75,3.454,2.555
80,3.585,2.68
85,3.713,2.794
90,3.834,2.914
95,3.962,3.032
100,4.082,3.142
105,4.209,3.266
110,4.324,3.375
115,4.454,3.499
120,4.573,3.613
125,4.699,3.372
130,4.817,3.85
135,4.939,3.974
140,5.057,4.086
145,5.162,4.205
150,5.274,4.321
155,5.381,4.431
160,5.497,4.549
165,5.605,4.667
170,5.729,4.778
175,5.847,4.891
180,5.971,5.01
185,6.091,5.122
190,6.214,5.241
195,6.333,5.352
200,6.457,5.474
205,6.574,5.594
210,6.699,5.716
215,6.816,5.824
220,6.934,5.949
225,7.057,6.061
230,7.159,6.181
235,7.297,6.294
240,7.42,6.414
245,7.538,6.522
250,7.652,6.645
255,7.787,6.755
260,7.9,6.877
265,8.013,6.995
270,8.141,7.11
275,8.255,7.224
280,8.373,7.343
285,8.491,7.454
290,8.62,7.581
295,8.743,7.791
300,8.86,7.812
305,8.973,7.935
310,9.097,8.044
315,9.213,8.156
320,9.336,8.274
325,9.454,8.396
330,9.576,8.504
335,9.693,8.612
340,9.815,8.732
345,9.932,8.849
350,10.054,8.961
355,10.177,9.073
360,10.295,9.193
365,10.412,9.311
370,10.534,9.426
375,10.65,9.545
380,10.772,9.659
385,10.992,9.771
390,11.009,9.889
395,11.126,10.018
400,11.242,10.134
405,11.361,10.245
410,11.483,10.368
415,11.6,10.482
420,11.721,10.501
425,11.838,10.715
430,11.957,10.825
435,12.075,10.95
440,12.193,11.064
445,12.315,11.175
450,12.43,11.3
455,12.543,11.411
460,12.665,11.535
465,12.784,11.651
470,12.901,11.772
475,13.02,11.891
480,13.137,12.002
485,13.252,12.119
490,13.372,12.233
495,13.497,12.351
500,13.606,12.471
505,13.725,12.6
510,13.841,12.714
515,13.96,12.837
520,14.075,12.962
525,14.195,13.081
530,14.313,13.198
535,14.423,13.312
540,14.547,13.429
545,14.662,13.547
550,14.787,13.661
555,14.899,13.779
560,15.018,13.893
565,15.125,14.01
570,15.251,14.124
575,15.37,14.242
580,15.484,14.35
585,15.504,14.473
590,15.712,14.597
595,15.837,14.709
600,15.947,14.815
605,16.074,14.939
610,16.181,15.057
615,16.302,15.159
620,16.421,15.288
625,16.533,15.405
630,16.625,15.515
635,16.668,15.601
640,16.691,
645,16.703,
