Time,Trial 1,Trial 2
5,0.754,0.175
10,0.834,0.336
15,0.905,0.423
20,0.977,0.546
25,1.049,0.503
30,1.12,0.615
35,1.18,0.725
40,1.26,0.834
45,1.329,0.937
50,1.401,1.046
55,1.469,1.147
60,1.542,1.254
65,1.61,1.356
70,1.678,1.46
75,1.746,1.565
80,1.817,1.67
85,1.886,1.77
90,1.958,1.869
95,2.026,1.973
100,2.094,2.072
105,2.164,2.175
110,2.235,2.279
115,2.302,2.377
120,2.374,2.471
125,2.442,2.579
130,2.512,2.672
135,2.578,2.78
140,2.647,2.877
145,2.717,2.981
150,2.784,3.083
155,2.854,3.182
160,2.92,3.282
165,2.988,3.373
170,3.057,3.482
175,3.127,3.582
180,3.194,3.68
185,3.253,3.77
190,3.328,3.875
195,3.398,3.978
200,3.464,4.073
205,3.534,4.173
210,3.592,4.27
215,3.666,4.364
220,3.735,4.468
225,3.802,4.568
230,3.867,4.663
235,3.953,4.763
240,4.003,4.858
245,4.075,4.959
250,4.143,5.054
255,4.209,5.153
260,4.272,5.248
265,4.344,5.348
270,4.414,5.441
275,4.485,5.535
280,4.55,5.635
285,4.62,5.737
290,4.684,5.83
295,4.753,8.923
300,4.814,6.024
305,4.891,6.118
310,4.956,6.219
315,5.023,6.312
320,5.089,6.415
325,5.154,6.51
330,5.224,6.61
335,5.29,6.705
340,5.353,6.806
345,5.424,6.904
350,5.497,6.996
355,5.557,7.093
360,5.621,7.193
365,5.688,7.286
370,5.757,7.383
375,5.822,7.475
380,5.889,7.575
385,5.954,7.676
390,6.013,7.77
395,6.084,7.87
400,6.154,7.965
405,6.217,8.063
410,6.287,8.157
415,6.352,8.255
420,6.419,8.351
425,6.481,8.443
430,6.549,8.541
435,6.617,8.64
440,6.681,8.733
445,6.749,8.832
450,6.813,8.925
455,6.876,9.013
460,6.942,9.116
465,7.008,9.214
470,7.075,9.308
475,7.139,9.394
480,7.205,9.497
485,7.269,9.59
490,7.334,9.688
495,7.402,9.781
500,7.464,9.879
505,7.529,9.972
510,7.595,10.071
515,7.658,10.164
520,7.726,10.257
525,7.791,10.354
530,7.855,10.445
535,7.92,10.545
540,7.987,10.637
545,8.051,10.735
550,8.117,10.828
555,8.18,10.92
560,8.248,11.017
565,8.313,11.109
570,8.374,11.201
575,8.442,11.29
580,8.507,11.39
585,8.569,11.483
590,8.635,11.58
595,8.698,1.672
600,8.761,11.769
605,8.827,11.85
610,8.893,11.952
615,8.954,12.045
620,9.022,12.137
625,9.087,12.228
630,9.152,12.327
635,9.215,12.417
640,9.28,12.509
645,9.344,12.606
650,9.411,12.698
655,9.476,12.788
660,9.542,12.885
665,9.605,12.976
670,9.668,13.066
675,9.737,13.157
680,9.797,13.255
685,9.865,13.346
690,9.927,13.436
695,9.989,13.523
700,10.052,13.624
705,10.111,13.714
710,10.174,13.814
715,10.244,13.902
720,10.313,13.992
725,10.374,14.082
730,10.446,14.178
735,10.501,14.268
740,10.566,14.359
745,10.628,14.445
750,10.691,14.545
755,10.754,14.635
760,10.822,14.725
765,10.883,14.81
770,10.945,14.911
775,11.008,15.003
780,11.075,15.075
785,11.134,15.114
790,11.2,
795,11.263,
800,11.328,
805,11.394,
810,11.455,
815,11.516,
820,11.58,
825,11.641,
830,11.705,
835,11.767,
840,11.831,
845,11.893,
850,11.954,
855,12.02,
860,12.082,
865,12.146,
870,12.209,
875,12.269,
880,12.332,
885,12.396,
890,12.475,
895,12.52,
900,12.583,
905,12.791,
910,12.711,
915,12.773,
920,12.834,
925,12.897,
930,12.955,
935,13.02,
940,13.082,
945,13.145,
950,13.206,
955,13.267,
960,13.329,
965,13.392,
970,13.454,
975,13.515,
980,13.577,
985,13.645,
990,13.698,
995,13.76,
1000,13.822,
1005,13.884,
1010,13.846,
1015,14.007,
1020,14.068,
1025,14.135,
1030,14.188,
1035,14.251,
1040,14.311,
1045,14.374,
1050,14.435,
1055,14.496,
1060,14.554,
1065,14.617,
1070,14.676,
1075,14.738,
1080,14.86,
1085,14.913,
1090,14.98,
1095,15.045,
1100,15.102,
1105,15.164,
1110,15.225,
1115,15.286,
1120,15.346,
1125,15.402,
1130,15.465,
1135,15.527,
1140,15.589,
1145,15.647,
1150,15.711,
1155,15.768,
1160,15.829,
1165,15.884,
1170,15.948,
1175,16.004,
1180,16.075,
1185,16.119,
1190,16.158,
