Time,Trial 1,Trial 2
0,0.741,0.495
5,0.826,0.704
10,0.91,0.789
15,0.991,0.874
20,1.075,0.956
25,1.153,1.044
30,1.242,1.126
35,1.321,1.1205
40,1.404,1.295
45,1.486,1.37
50,1.564,1.452
55,1.646,1.529
60,1.726,1.613
65,1.804,1.695
70,1.883,1.772
75,1.962,1.843
80,2.042,1.935
85,2.117,2.016
90,2.195,2.083
95,2.274,2.162
100,2.346,2.238
105,2.425,2.314
110,2.504,2.351
115,2.581,2.468
120,2.652,2.547
125,2.732,2.624
130,2.811,2.694
135,2.881,2.776
140,2.962,2.851
145,3.044,2.921
150,3.112,3.005
155,3.19,3.081
160,3.261,3.159
165,3.344,3.232
170,3.415,3.314
175,3.494,3.385
180,3.567,3.452
185,3.644,3.537
190,3.721,3.614
195,3.791,3.685
200,3.869,3.759
205,3.945,3.837
210,4.01,3.912
215,4.094,3.985
220,4.17,4.064
225,4.244,4.136
230,4.32,4.215
235,4.391,4.297
240,4.467,4.361
245,4.54,4.434
250,4.617,4.513
255,4.692,4.583
260,4.769,4.66
265,4.842,4.737
270,4.918,4.809
275,4.995,4.883
280,5.069,4.959
285,5.141,5.034
290,5.217,5.117
295,5.294,5.185
300,5.364,5.252
305,5.44,5.331
310,5.586,5.404
315,5.654,5.479
320,5.732,5.554
325,5.81,5.628
330,5.875,5.703
335,5.959,5.778
340,6.032,5.853
345,6.107,5.928
350,6.18,6.001
355,6.252,6.076
360,6.328,6.149
365,6.402,6.221
370,6.474,6.294
375,6.544,6.371
380,6.62,6.442
385,6.691,6.514
390,6.766,6.588
395,6.838,6.66
400,6.913,6.737
405,6.983,6.808
410,7.075,6.883
415,7.136,6.953
420,7.206,7.024
425,7.271,7.103
430,7.353,7.177
435,7.425,7.248
440,7.499,7.32
445,7.572,7.395
450,7.645,7.467
455,7.719,7.543
460,7.794,7.614
465,7.867,7.687
470,7.939,7.753
475,8.012,7.834
480,8.084,7.908
485,8.156,7.972
490,8.221,8.055
495,8.3,8.123
500,8.376,8.201
505,8.445,8.27
510,8.511,8.34
515,8.589,8.417
520,8.654,8.496
525,8.734,8.559
530,8.804,8.633
535,8.878,8.704
540,8.95,8.774
545,9.02,8.848
550,9.091,8.919
555,9.165,8.989
560,9.24,9.061
565,9.311,9.136
570,9.38,9.205
575,9.45,9.278
580,9.525,9.351
585,9.592,9.42
590,9.666,9.492
595,9.741,9.566
600,9.811,9.636
605,9.881,9.707
610,9.954,9.776
