Time,Trial 1,Trial 2,Trial 3
0,0.53,0.624,1.04
5,0.647,0.744,1.152
10,0.755,0.857,1.261
15,0.869,0.972,1.375
20,0.98,1.089,1.491
25,1.093,1.204,1.599
30,1.205,1.319,1.713
35,1.311,1.427,1.819
40,1.421,1.542,1.931
45,1.529,1.645,2.043
50,1.641,1.755,2.15
55,1.744,1.857,2.261
60,1.852,1.985,2.372
65,1.954,2.092,2.479
70,2.07,2.194,2.589
75,2.182,2.305,2.693
80,2.29,2.413,2.803
85,2.392,2.514,2.913
90,2.5,2.631,3.017
95,2.602,2.741,3.126
100,2.71,2.847,3.23
105,2.815,2.955,3.338
110,2.919,3.062,3.442
115,3.026,3.168,3.55
120,3.124,3.278,3.654
125,3.236,3.382,3.763
130,3.342,3.492,3.872
135,3.443,3.601,3.976
140,3.549,3.706,4.084
145,3.657,3.813,4.197
150,3.757,3.922,4.295
155,3.862,4.03,4.403
160,3.963,4.137,4.511
165,4.068,4.247,4.612
170,4.174,4.352,4.72
175,4.28,4.46,4.823
180,4.375,4.561,4.932
185,4.485,4.669,5.042
190,4.591,4.777,5.144
195,4.691,4.88,5.253
200,4.796,4.991,5.362
205,4.903,5.093,5.466
210,5.002,5.202,5.574
215,5.109,5.304,5.677
220,5.216,5.411,5.785
225,5.321,5.521,5.888
230,5.426,5.622,5.996
235,5.529,5.731,6.099
240,5.634,5.833,6.208
245,5.739,5.94,6.314
250,5.84,6.043,6.417
255,5.939,6.151,6.524
260,6.044,6.257,6.626
265,6.141,6.359,6.734
270,6.245,6.466,6.836
275,6.343,6.567,6.943
280,6.446,6.675,7.044
285,6.544,6.781,7.151
290,6.647,6.886,7.253
295,6.75,6.992,7.36
300,6.848,7.097,7.462
305,6.951,7.202,7.57
310,7.044,7.307,7.671
315,7.152,7.408,7.778
320,7.244,7.512,7.885
325,7.351,7.612,7.987
330,7.444,7.719,8.094
335,7.552,7.819,8.202
340,7.654,7.925,8.303
345,7.752,8.031,8.409
350,7.854,8.131,8.515
355,7.854,8.236,8.616
360,7.955,8.342,8.723
365,8.055,8.441,8.829
370,8.156,8.547,8.935
375,8.258,8.652,9.041
380,8.355,8.76,9.147
385,8.456,8.852,9.247
390,8.557,8.962,9.353
395,8.654,9.063,9.453
400,8.754,9.168,9.558
405,8.853,9.272,9.654
410,8.951,9.372,9.764
415,9.042,9.476,9.869
420,9.148,9.581,9.968
425,9.242,9.685,10.076
430,9.345,9.786,10.175
435,9.445,9.89,10.281
440,9.54,9.995,10.381
445,9.651,10.095,10.486
450,9.736,10.196,10.597
455,9.836,10.301,10.692
460,9.93,10.403,10.794
465,10.029,10.507,10.899
470,10.127,10.611,11.003
475,10.225,10.71,11.102
480,10.321,10.814,11.206
485,10.413,10.912,11.31
490,10.514,11.016,11.41
495,10.617,11.114,11.515
500,10.706,11.22,12.726
505,10.704,11.312,11.72
510,10.899,11.421,11.82
515,10.995,11.523,11.923
520,11.09,11.614,12.023
525,11.187,11.722,12.122
530,11.282,11.815,12.22
535,11.381,11.921,12.325
540,11.475,12.013,12.423
545,11.573,12.121,12.522
550,11.664,12.214,12.627
555,11.76,12.315,12.725
560,11.854,12.417,12.83
565,11.95,12.514,12.927
570,12.042,12.61,13.033
575,12.131,12.712,13.129
580,12.228,12.809,13.227
585,12.32,12.904,13.33
590,12.417,13.006,13.429
595,12.507,13.102,13.533
600,12.604,13.204,13.631
605,12.694,13.3,13.736
610,12.791,13.402,13.834
615,12.88,13.497,13.931
620,12.97,13.591,14.036
625,13.066,13.693,14.132
630,13.156,13.788,14.237
635,13.251,13.89,14.333
640,13.341,13.985,14.429
645,13.43,14.075,14.534
650,13.524,14.18,14.629
655,13.612,14.274,14.727
660,13.708,14.373,14.828
665,13.795,14.466,14.924
670,13.89,14.56,15.019
675,13.976,14.651,15.124
680,14.069,14.756,15.217
685,14.157,14.852,15.32
690,14.244,14.943,15.414
695,14.336,15.044,15.515
700,14.424,15.135,15.611
705,14.517,15.234,15.705
710,14.602,15.327,15.806
715,14.688,15.425,15.9
720,14.774,15.516,16
725,14.858,15.617,16.093
730,14.949,15.704,16.186
735,15.035,15.794,16.286
740,15.12,15.891,16.379
745,15.21,15.98,16.473
750,15.298,16.071,16.572
755,15.382,16.166,16.664
760,15.471,16.256,16.763
765,15.556,16.352,16.834
770,15.644,16.44,16.887
775,15.728,16.524,16.923
780,15.811,16.621,16.951
785,15.991,16.712,
790,15.982,16.805,
795,16.065,16.892,
800,16.153,16.986,
805,16.235,17.072,
810,16.313,17.166,
815,16.405,17.253,
820,16.489,17.341,
825,16.569,17.424,
830,16.656,17.521,
835,16.738,17.614,
840,16.814,17.693,
845,16.904,,
850,16.983,,
855,17.063,,
860,17.149,,
865,17.228,,
870,17.308,,
