Time,Trial 1,Trial 2,Trial 3
0,0.662,0.521,2.615
5,0.734,0.58,2.678
10,0.812,0.646,2.744
15,0.882,0.716,2.811
20,0.956,0.791,2.881
25,1.024,0.855,2.949
30,1.091,0.924,3.015
35,1.166,1.001,3.085
40,1.234,1.068,3.158
45,1.303,1.135,3.227
50,1.372,1.205,3.297
55,1.441,1.272,3.364
60,1.509,1.343,3.434
65,1.578,1.412,3.506
70,1.644,1.477,3.574
75,1.714,1.544,3.644
80,1.78,1.612,3.712
85,1.849,1.672,3.773
90,1.917,1.743,3.845
95,1.987,1.814,3.917
100,2.05,1.879,3.985
105,2.118,1.947,4.117
110,2.187,2.011,4.258
115,2.253,2.077,4.394
120,2.321,2.145,4.523
125,2.386,2.208,4.668
130,2.456,2.274,4.804
135,2.522,2.342,4.938
140,2.586,2.404,5.076
145,2.65,2.47,5.21
150,2.718,2.535,5.348
155,2.783,2.601,5.482
160,2.849,2.665,5.613
165,2.918,2.723,5.75
170,2.979,2.797,5.885
175,3.048,2.86,6.015
180,3.113,2.924,6.152
185,3.174,2.992,6.284
190,3.243,3.055,6.417
195,3.311,3.119,6.548
200,3.375,3.181,6.681
205,3.438,3.247,6.812
210,3.502,3.315,6.944
215,3.57,3.376,7.079
220,3.636,3.441,7.205
225,3.697,3.504,7.34
230,3.767,3.571,7.471
235,3.831,3.637,7.604
240,3.897,3.699,7.735
245,3.961,3.761,7.866
250,4.022,3.825,7.997
255,4.088,3.889,8.125
260,4.151,3.955,8.253
265,4.214,4.018,8.383
270,4.279,4.08,8.514
275,4.347,4.151,8.64
280,4.408,4.215,8.772
285,4.473,4.278,8.901
290,4.533,4.345,9.028
295,4.597,4.407,9.154
300,4.663,4.471,9.281
305,4.726,4.534,9.412
310,4.787,4.596,9.534
315,4.853,4.658,9.665
320,4.913,4.721,9.788
325,4.977,4.787,9.915
330,5.041,4.851,10.051
335,5.103,4.912,10.166
340,5.167,4.975,10.294
345,5.228,5.04,10.415
350,5.295,5.103,10.539
355,5.353,5.165,10.666
360,5.416,5.224,10.79
365,5.479,5.289,10.914
370,5.54,5.35,11.033
375,5.604,5.414,11.157
380,5.666,5.476,11.281
385,5.728,5.546,11.405
390,5.793,5.6,11.525
395,5.852,5.664,11.644
400,5.915,5.724,11.764
405,5.975,5.795,11.884
410,6.04,5.852,12.01
415,6.1,5.91,12.124
420,6.165,5.976,12.245
425,6.222,6.039,12.365
430,6.284,6.099,12.485
435,6.344,6.165,12.604
440,6.405,6.223,12.72
445,6.465,6.286,12.838
450,6.53,6.345,12.956
455,6.59,6.41,13.843
460,6.65,6.471,13.188
465,6.715,6.533,13.302
470,6.771,6.594,13.421
475,6.835,6.655,13.535
480,6.894,6.716,13.647
485,6.952,6.771,13.76
490,7.016,6.84,13.876
495,7.076,6.904,13.99
500,7.136,6.964,14.104
505,7.195,7.024,14.216
510,7.253,7.084,14.328
515,7.316,7.148,14.443
520,7.376,7.21,14.55
525,7.434,7.272,14.666
530,7.493,7.324,14.776
535,7.552,7.393,14.886
540,7.611,7.455,14.995
545,7.673,7.516,15.107
550,7.732,7.575,15.215
555,7.79,7.634,15.324
560,7.848,7.695,15.434
565,7.904,7.755,15.539
570,7.965,7.819,15.646
575,8.022,7.871,15.75
580,8.079,7.934,15.859
585,8.137,7.998,16.071
590,8.197,8.051,16.172
595,8.255,8.121,16.278
600,8.313,8.18,16.378
605,8.37,8.24,16.482
610,8.427,8.303,16.585
615,8.484,8.363,16.687
620,8.538,8.421,16.784
625,8.596,8.484,16.885
630,8.653,8.544,16.985
635,8.71,8.603,17.087
640,8.766,8.663,17.184
645,8.822,8.722,17.279
650,8.879,8.781,17.375
655,8.934,8.84,17.474
660,8.993,8.901,17.573
665,9.048,8.96,17.672
670,9.103,9.019,17.774
675,9.157,9.077,17.866
680,9.212,9.134,17.979
685,9.268,9.193,18.093
690,9.327,9.255,18.204
695,9.372,9.315,18.312
700,9.433,9.374,18.434
705,9.493,9.432,18.545
710,9.546,9.491,18.644
715,9.601,9.553,18.711
720,9.655,9.61,
725,9.71,9.669,
730,9.762,9.731,
735,9.817,9.792,
740,9.872,9.848,
745,9.925,9.905,
750,9.979,9.967,
755,10.031,10.024,
760,10.085,10.082,
765,10.138,10.139,
770,10.191,10.198,
775,10.243,10.255,
780,10.297,10.313,
785,10.35,10.37,
790,10.402,10.427,
795,10.454,10.483,
800,10.511,10.541,
805,10.563,10.598,
810,10.615,10.655,
815,10.664,10.71,
820,10.715,10.768,
825,10.771,10.825,
830,10.823,10.881,
835,10.874,10.938,
840,10.925,10.993,
845,10.977,11.049,
850,11.028,11.106,
855,11.079,11.165,
860,11.13,11.22,
865,11.181,11.277,
870,11.232,11.331,
875,11.272,11.388,
880,11.322,11.443,
885,11.372,11.498,
890,11.421,11.554,
895,11.471,11.609,
900,11.53,11.667,
905,11.57,11.717,
910,11.621,11.775,
915,11.675,11.825,
920,11.724,11.884,
925,11.775,11.936,
930,11.824,11.992,
935,11.874,12.045,
940,11.924,12.1,
945,11.973,12.153,
950,12.021,12.206,
955,12.07,12.261,
960,12.119,12.312,
965,12.164,12.37,
970,12.217,12.423,
975,12.265,12.477,
980,12.317,12.534,
985,15.352,12.586,
990,12.406,12.638,
995,12.457,12.693,
1000,12.502,12.747,
1005,12.551,12.803,
1010,12.603,12.854,
1015,12.65,12.907,
1020,12.702,12.961,
1025,12.752,13.012,
1030,12.803,13.071,
1035,12.853,13.121,
1040,12.903,13.173,
1045,12.943,13.226,
1050,12.999,13.277,
1055,13.048,13.332,
1060,13.097,13.373,
1065,13.146,13.432,
1070,13.194,13.487,
1075,13.241,13.543,
1080,13.29,13.59,
1085,13.338,13.645,
1090,13.386,13.695,
1095,13.431,13.747,
1100,13.48,13.798,
1105,13.528,13.849,
1110,13.577,13.905,
1115,13.624,13.957,
1120,13.677,14.004,
1125,13.716,14.061,
1130,13.766,14.113,
1135,13.812,14.154,
1140,13.856,14.121,
1145,13.901,14.264,
1150,13.949,14.314,
1155,13.996,14.363,
1160,14.038,14.414,
1165,14.084,14.465,
1170,14.128,14.514,
1175,14.174,14.563,
1180,14.22,14.618,
1185,14.266,14.665,
1190,14.307,14.714,
1195,14.352,14.768,
1200,14.397,14.815,
1205,14.438,14.867,
1210,14.484,14.916,
1215,14.527,14.967,
1220,14.569,15.016,
1225,14.614,15.066,
1230,14.654,15.115,
1235,14.7,15.165,
1240,14.745,15.214,
1245,14.786,15.255,
1250,14.831,15.31,
1255,14.871,15.358,
1260,14.914,15.415,
1265,14.958,15.46,
1270,15.002,15.505,
1275,15.041,15.555,
1280,15.086,15.605,
1285,15.124,15.643,
1290,15.169,15.699,
1295,15.213,15.748,
1300,15.251,15.795,
1305,15.296,15.843,
1310,15.335,15.892,
1315,15.379,15.941,
1320,15.418,15.986,
1325,15.461,16.035,
1330,15.504,16.074,
1335,15.541,16.127,
1340,15.585,16.176,
1345,15.623,16.221,
1350,15.667,16.269,
1355,15.704,16.314,
1360,15.747,16.362,
1365,15.785,16.411,
1370,15.828,16.457,
1375,15.874,16.5,
1380,15.911,16.548,
1385,15.953,16.597,
1390,15.99,16.645,
1395,16.031,16.688,
1400,16.068,16.731,
1405,16.109,16.779,
1410,16.15,16.826,
1415,16.188,16.863,
1420,16.227,16.902,
1425,16.263,16.924,
1430,16.304,,
1435,16.341,,
1440,16.382,,
1445,16.422,,
1450,16.459,,
1455,16.501,,
1460,16.535,,
1465,16.575,,
1470,16.616,,
1475,16.653,,
1480,16.694,,
1485,16.732,,
1490,16.768,,
1495,16.809,,
1500,16.844,,
1505,16.884,,
1510,16.925,,
1515,16.96,,
1520,17,,
1525,17.036,,
1530,17.074,,
1535,17.107,,
1540,17.141,,
