Time,Trial 1,Trial 2
5,0.325,1.404
10,0.386,1.453
15,0.443,1.502
20,0.502,1.553
25,0.56,1.603
30,0.613,1.653
35,0.666,1.704
40,0.72,1.753
45,0.774,1.805
50,0.831,1.861
55,0.884,1.917
60,0.937,1.953
65,0.989,2.012
70,1.044,2.064
75,1.097,2.114
80,1.147,2.164
85,1.201,2.215
90,1.252,2.265
95,1.307,2.315
100,1.355,2.366
105,1.41,2.416
110,1.461,2.464
115,1.512,2.514
120,1.563,2.564
125,1.613,2.618
130,1.663,2.668
135,1.715,2.717
140,1.766,2.767
145,1.815,2.817
150,1.871,2.866
155,1.921,2.915
160,1.97,2.965
165,2.02,3.015
170,2.07,3.064
175,2.12,3.113
180,2.168,3.162
185,2.217,3.211
190,2.267,3.26
195,2.316,3.309
200,2.366,3.358
205,2.415,3.406
210,2.464,3.455
215,2.515,3.503
220,2.565,3.552
225,2.615,3.601
230,2.664,3.653
235,2.714,3.701
240,2.762,3.749
245,2.811,3.798
250,2.863,3.845
255,2.912,3.893
260,2.961,3.942
265,3.009,3.991
270,3.058,4.039
275,3.106,4.088
280,3.155,4.135
285,3.203,4.183
290,3.252,4.231
295,3.305,4.279
300,3.352,4.326
305,3.403,4.373
310,3.452,4.422
315,3.499,4.469
320,3.548,4.516
325,3.594,4.567
330,3.643,4.613
335,3.693,4.661
340,3.739,4.709
345,3.788,4.756
350,3.837,4.804
355,3.885,4.851
360,3.932,4.898
365,3.98,4.945
370,4.029,4.993
375,4.076,5.04
380,4.124,5.087
385,4.176,5.134
390,4.223,5.185
395,4.27,5.232
400,4.317,5.279
405,4.366,5.326
410,4.412,5.372
415,4.46,5.418
420,4.508,5.466
425,4.556,5.513
430,4.603,5.56
435,4.652,5.607
440,4.699,5.654
445,4.746,5.699
450,4.794,5.746
455,4.84,5.792
460,4.887,5.839
465,4.935,5.886
470,4.982,5.933
475,5.028,5.979
480,5.075,6.025
485,5.122,6.071
490,5.172,6.12
495,5.219,6.166
500,5.265,6.212
505,5.312,6.258
510,5.359,6.303
515,5.405,6.349
520,5.451,6.396
525,5.497,6.441
530,5.544,6.487
535,5.59,6.533
540,5.636,6.579
545,5.683,6.624
550,5.729,6.67
555,5.775,6.716
560,5.821,6.761
565,5.87,6.807
570,5.917,6.852
575,5.963,6.898
580,6.009,6.944
585,6.055,6.989
590,6.098,7.034
595,6.146,7.081
600,6.191,7.126
605,6.237,7.172
610,6.282,7.217
615,6.33,7.262
620,6.376,7.307
625,6.42,7.353
630,6.464,7.399
635,6.51,7.443
640,6.557,7.489
645,6.6,7.534
650,6.646,7.579
655,6.691,7.623
660,6.736,7.672
665,6.781,7.717
670,6.824,7.761
675,6.871,7.806
680,6.916,7.851
685,6.958,7.895
690,7.004,7.939
695,7.048,7.984
700,7.093,8.029
705,7.137,8.073
710,7.183,8.117
715,7.228,8.161
720,7.272,8.206
725,7.316,8.25
730,7.361,8.293
735,7.405,8.337
740,7.45,8.382
745,7.496,8.426
750,7.54,8.469
755,7.584,8.513
760,7.625,8.556
765,7.672,8.6
770,7.715,8.643
775,7.762,8.687
780,7.807,8.731
785,7.851,8.775
790,7.895,8.817
795,7.94,8.861
800,7.983,8.905
805,8.027,8.948
810,8.071,8.991
815,8.115,9.035
820,8.158,9.077
825,8.203,9.121
830,8.246,9.165
835,8.289,9.211
840,8.333,9.253
845,8.377,9.296
850,8.42,9.339
855,8.464,9.382
860,8.506,9.424
865,8.549,9.468
870,8.593,9.505
875,8.635,9.552
880,8.682,12.534
885,8.725,9.635
890,8.768,9.677
895,8.811,9.722
900,8.854,9.761
905,8.894,9.807
910,8.941,9.845
915,8.983,9.891
920,9.025,9.937
925,9.068,9.976
930,9.111,10.014
935,9.154,10.057
940,9.196,10.102
945,9.238,10.141
950,9.281,10.225
955,9.323,10.266
960,9.365,10.308
965,9.408,10.349
970,9.448,10.393
975,9.491,10.435
980,9.532,10.475
985,9.573,10.517
990,9.615,10.557
995,9.651,10.598
1000,9.702,10.639
1005,9.744,10.68
1010,9.786,10.722
1015,9.827,10.763
1020,9.868,10.801
1025,9.91,10.844
1030,9.952,10.886
1035,9.993,10.926
1040,10.034,10.968
1045,10.075,11.005
1050,10.116,11.046
1055,10.158,11.086
1060,10.198,11.127
1065,10.237,11.168
1070,10.278,11.209
1075,10.319,11.247
1080,10.36,11.288
1085,10.402,11.327
1090,10.443,11.369
1095,10.483,11.409
1100,10.524,11.449
1105,10.566,11.488
1110,10.607,11.529
1115,10.645,11.569
1120,10.687,11.61
1125,10.726,11.65
1130,10.768,11.688
1135,10.808,11.728
1140,10.849,11.769
1145,10.888,11.805
1150,10.93,11.845
1155,10.97,11.885
1160,11.01,11.925
1165,11.05,11.963
1170,11.09,12.002
1175,11.125,12.042
1180,11.165,12.081
1185,11.205,12.118
1190,11.246,12.158
1195,11.286,12.195
1200,11.321,12.235
1205,11.361,12.272
1210,11.407,12.312
1215,11.445,12.352
1220,11.485,12.388
1225,11.525,12.429
1230,11.565,12.463
1235,11.604,12.504
1240,11.643,12.579
1245,11.682,12.618
1250,11.722,12.655
1255,11.76,12.695
1260,11.798,12.731
1265,11.837,12.771
1270,11.877,12.845
1275,11.916,12.885
1280,11.955,12.92
1285,11.993,12.959
1290,12.032,12.994
1295,12.071,13.034
1300,12.105,13.072
1305,12.145,13.107
1310,12.185,13.145
1315,12.222,13.18
1320,12.261,13.219
1325,12.301,13.253
1330,12.336,13.292
1335,12.376,13.33
1340,12.411,13.365
1345,12.45,13.403
1350,12.489,13.437
1355,12.524,13.475
1360,12.563,13.511
1365,12.602,13.545
1370,12.639,13.584
1375,12.677,13.621
1380,12.716,13.654
1385,12.751,13.693
1390,12.789,13.726
1395,12.824,13.764
1400,12.863,13.801
1405,12.901,13.834
